Mot|Phrase|Catégorie|Traduction en français
shopping|Shopping for clothes is one of her favorite activities.|Nom masculin|shopping
shore|The shore of the lake is a peaceful place to relax.|Nom féminin|rive
short|She wore a short dress to the party.|Adjectif|court
shortly|They will arrive shortly for the meeting.|Adverbe|dans un instant
shot|The basketball player made a perfect shot.|Nom masculin|tir
should|Should I bring anything to the potluck dinner?|Modal|devrais
shoulder|The bag rests on her shoulder comfortably.|Nom masculin|épaule
shout|They heard a loud shout from the other room.|Verbe|crier
show|They will watch a new show on television tonight.|Nom masculin|émission
shower|She took a refreshing shower after her workout.|Nom masculin|douche
shut|They will shut the door before leaving the house.|Verbe|fermer
sick|She felt sick and needed to rest.|Adjectif|malade
side|The view of the mountains from the side is stunning.|Nom masculin|côté
sight|The sight of the sunset is breathtaking.|Nom féminin|vue
sign|They put up a sign to indicate the right way.|Nom masculin|panneau
signal|The signal is strong for the Wi-Fi connection.|Nom masculin|signal
signature|Her signature at the bottom of the document is unique.|Nom féminin|signature
significance|The historical event holds great significance.|Nom féminin|signification
significant|They made a significant contribution to the cause.|Adjectif|important
significantly|The situation has improved significantly.|Adverbe|significativement
silence|The silence in the library is soothing.|Nom masculin|silence
silent|She prefers the silent moments in nature.|Adjectif|silencieux
silver|The silver jewelry shone brightly in the light.|Nom masculin|argent
similar|The two paintings are remarkably similar.|Adjectif|similaire
similarly|Similarly, they both enjoy hiking and camping.|Adverbe|de manière similaire
simple|The solution to the problem was simple and clear.|Adjectif|simple
simply|They can communicate their ideas simply and effectively.|Adverbe|simplement
since|She has been working as a teacher since last year.|Préposition|depuis
sing|They will sing their favorite songs at the concert.|Verbe|chanter
singer|The singer has a beautiful voice and stage presence.|Nom masculin|chanteur
single|She enjoys her single life and independence.|Adjectif|célibataire
sink|She washed the dishes in the kitchen sink.|Nom masculin|évier
sir|Excuse me, sir, could you help me with directions?|Nom masculin|monsieur
sister|Her sister is her closest and dearest friend.|Nom féminin|sœur
sit|They like to sit in the park and enjoy the scenery.|Verbe|s'asseoir
site|The construction site is a hub of activity.|Nom masculin|site
situation|The situation requires careful consideration.|Nom féminin|situation
size|The size of the room can comfortably fit a family.|Nom masculin|taille
skill|She developed her skill in playing the piano.|Nom masculin|compétence
skin|The skin is the body's largest organ.|Nom féminin|peau
sky|The sky is clear and bright on a sunny day.|Nom masculin|ciel
slight|There was a slight change in the plan.|Adjectif|légère
slightly|The temperature dropped slightly in the evening.|Adverbe|légèrement
slip|She almost had a slip on the icy sidewalk.|Verbe|glisser
slow|The slow pace of life in the countryside is calming.|Adjectif| lent
slowly|They walked slowly through the forest.|Adverbe|lentement
small|The small kitten curled up for a nap.|Adjectif|petit
smart|She is a smart student with excellent grades.|Adjectif|intelligent
smell|The fresh flowers smell wonderful.|Verbe|sentir
smile|Her smile brightened up the room.|Nom masculin|sourire
smoke|The smoke from the fire rose into the sky.|Nom masculin|fumée
smooth|The surface of the water was smooth and calm.|Adjectif|lisse
snake|They spotted a snake in the garden.|Nom masculin|serpent
snow|The snowfall in winter is a beautiful sight.|Nom féminin|neige
so|They were so excited about their upcoming trip.|Adverbe|tellement
so-called|The so-called "experts" did not have the right answers.|Adjectif|soi-disant
soccer|Soccer is a popular sport played around the world.|Nom masculin|football
social|The social event brought people together for a good cause.|Adjectif|social
society|A just and equal society is the goal of many.|Nom féminin|société
soft|The soft cushions made the sofa comfortable.|Adjectif|moelleux
software|They need specialized software for their work.|Nom masculin|logiciel
soil|The soil in the garden is perfect for growing vegetables.|Nom masculin|sol
soldier|The soldier served in the military for many years.|Nom masculin|soldat
solid|The solid foundation of their friendship is trust.|Adjectif|solide
solution|They found a creative solution to the problem.|Nom féminin|solution
solve|They worked together to solve the complex puzzle.|Verbe|résoudre
some|She enjoys reading books of some genres.|Déterminant|quelques
somebody|Somebody will help you find your way.|Pronom|quelqu'un
someone|Someone left their umbrella by the door.|Pronom|quelqu'un
something|She will find something delicious to eat.|Pronom|quelque chose
sometimes|Sometimes, it's good to take a break and relax.|Adverbe|parfois
somewhat|The result was somewhat unexpected.|Adverbe|quelque peu
somewhere|The keys must be around here somewhere.|Adverbe|quelque part
son|Their son is talented in playing the violin.|Nom masculin|fils
song|She sang a beautiful song at the concert.|Nom masculin|chanson
soon|They will arrive soon for the meeting.|Adverbe|bientôt
sophisticated|The design is sophisticated and elegant.|Adjectif|sophistiqué
sorry|She felt sorry for the mistake and apologized.|Adjectif|désolé
sort|They will sort the items into different categories.|Verbe|classer
soul|Music has the power to touch the soul.|Nom masculin|âme
sound|The sound of waves crashing is relaxing.|Nom masculin|son
soup|She made a delicious homemade soup for dinner.|Nom féminin|soupe
source|The source of the river is in the mountains.|Nom féminin|source
south|They traveled to the south for a sunny vacation.|Nom masculin|sud
southern|The southern region of the country is warm.|Adjectif|du sud
space|The space in the room is used efficiently.|Nom masculin|espace
speak|They can speak multiple languages fluently.|Verbe|parler
speaker|The speaker at the event shared valuable insights.|Nom masculin|orateur
special|The special occasion calls for celebration.|Adjectif|spécial
specialist|The specialist can diagnose and treat the condition.|Nom masculin|spécialiste
specific|The specific details are essential for accuracy.|Adjectif|spécifique
specifically|They need information specifically about the topic.|Adverbe|spécifiquement
speech|She gave an inspiring speech at the conference.|Nom féminin|discours
speed|The car accelerated to a high speed on the highway.|Nom masculin|vitesse
spend|They plan to spend the weekend at the beach.|Verbe|passer
spirit|The spirit of the holiday season is joy and giving.|Nom masculin|esprit
spiritual|She follows a spiritual practice for inner peace.|Adjectif|spirituel
split|They decided to split the expenses equally.|Verbe|diviser
spoil|They don't want to spoil the surprise party.|Verbe|gâter
spoken|The spoken language in the region is unique.|Adjectif|parlé
sport|She enjoys playing and watching sports.|Nom masculin|sport
spot|They found a beautiful spot for a picnic.|Nom masculin|endroit
spread|They spread the news quickly among their friends.|Verbe|répandre
spring|The season of spring brings blooming flowers.|Nom féminin|printemps
square|The town square is a popular gathering place.|Nom masculin|place
squeeze|She will squeeze the juice from the oranges.|Verbe|presser
stability|Stability in life provides a sense of security.|Nom féminin|stabilité
stable|The table is stable and won't wobble.|Adjectif|stable
staff|The staff at the hotel was friendly and helpful.|Nom masculin|personnel
stage|The stage is set for the theater performance.|Nom masculin|scène
stair|They climbed the narrow stair to the attic.|Nom masculin|escalier
stake|They have a stake in the success of the project.|Nom masculin|enjeu
